,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
311941,3,2,0.62,Bushkill,Pennsylvania,18324,1350,2019-04-17,319900
311942,3,3,0.65,Yulan,New York,12792,1480,2006-05-23,425000
311943,3,2,1.11,Milford,Pennsylvania,18337,2790,2021-06-16,454500
311944,3,2,0.8,Hawley,Pennsylvania,18428,1160,2003-02-03,218900
311945,4,3,1.01,Milford,Pennsylvania,18337,2700,2019-08-26,364900
311946,3,2,0.12,Matamoras,Pennsylvania,18336,1674,2021-10-05,249000
311949,6,2,0.12,Port Jervis,New York,12771,2256,2005-11-10,295000
311951,3,2,0.7,Dingmans Ferry,Pennsylvania,18328,2649,2017-12-29,449000
311952,3,3,1.58,Knowlton,New Jersey,7832,1350,2000-06-01,389900
311954,3,2,0.77,Milford,Pennsylvania,18337,1960,2015-07-16,249900
311955,4,3,0.25,Bushkill,Pennsylvania,18324,2226,2002-04-01,245000
311956,3,2,0.3,Bushkill,Pennsylvania,18324,2336,2020-02-05,299000
311958,3,3,0.47,Bushkill,Pennsylvania,18324,2429,,380000
311959,3,3,0.54,Lords Valley,Pennsylvania,18428,3549,,449000
311960,2,1,0.4,Milford,Pennsylvania,18337,672,2010-04-01,159000
311961,4,3,0.38,Bushkill,Pennsylvania,18324,2074,1999-05-11,275000
311962,3,2,1.36,Milford,Pennsylvania,18337,2523,2017-11-29,335000
311963,5,4,1.92,Mount Bethel,Pennsylvania,18343,4260,2020-08-06,535000
311964,4,3,7.46,East Stroudsburg,Pennsylvania,18301,3800,,575000
311965,3,3,1.15,Milford,Pennsylvania,18337,3188,,422000
311966,3,3,0.41,East Stroudsburg,Pennsylvania,18302,1936,2005-08-31,159000
311967,2,1,0.07,Port Jervis,New York,12771,1008,2003-08-15,154900
311968,3,2,0.73,Milford,Pennsylvania,18337,2400,1989-06-20,215000
311969,3,3,0.63,Bushkill,Pennsylvania,18324,2301,2021-02-04,269000
311970,3,3,0.34,East Stroudsburg,Pennsylvania,18302,2498,2012-02-06,249000
311971,4,2,0.43,Westtown,New York,10998,1628,,250000
311972,4,3,0.42,East Stroudsburg,Pennsylvania,18302,2216,2008-03-06,250000
311973,3,2,1.1,Dingmans Ferry,Pennsylvania,18328,1152,1987-11-16,139000
311974,3,2,0.33,Bushkill,Pennsylvania,18324,1012,2020-07-10,195000
311975,3,1,0.62,Dingmans Ferry,Pennsylvania,18328,864,2004-03-29,169900
311976,3,2,0.22,Dingmans Ferry,Pennsylvania,18328,1957,2011-08-11,225000
311977,4,4,0.45,Bushkill,Pennsylvania,18324,2608,2010-04-28,336000
311978,3,2,0.73,Lords Valley,Pennsylvania,18428,1856,2019-09-27,350000
311979,3,2,0.5,Lords Valley,Pennsylvania,18428,1762,,365000
311980,3,4,0.02,East Stroudsburg,Pennsylvania,18302,2278,2014-06-19,259900
311981,3,2,0.28,Pike County,Pennsylvania,18324,1056,,224900
311982,4,2,0.5,East Stroudsburg,Pennsylvania,18302,1900,,229500
311983,4,3,0.49,Lords Valley,Pennsylvania,18428,2600,,399000
311985,3,2,0.6,Lords Valley,Pennsylvania,18428,1834,2016-09-01,285000
311986,11,8,81.55,Middle Smithfield Township,Pennsylvania,18302,10075,2018-08-20,2395000
311989,3,2,0.54,Tamiment,Pennsylvania,18371,1500,,389900
311991,2,1,0.46,Bethel,New York,12720,768,2005-08-15,189900
311992,3,2,0.74,Milford,Pennsylvania,18337,1914,1988-01-22,75000
311993,3,3,0.62,Hawley,Pennsylvania,18428,2781,,225000
311994,3,2,0.45,Bushkill,Pennsylvania,18324,1729,2018-12-03,272000
311995,4,3,0.48,Bushkill,Pennsylvania,18324,2598,,269900
311996,3,2,0.45,Lords Valley,Pennsylvania,18428,1768,2014-04-29,249000
311997,3,3,1.07,Milford,Pennsylvania,18337,3240,1986-02-26,287000
311998,3,3,1.09,Lords Valley,Pennsylvania,18428,3813,,429000
311999,2,1,0.4,East Stroudsburg,Pennsylvania,18302,1000,2021-05-17,145000
312000,3,3,3.78,White Lake,New York,12786,1728,2005-04-12,410000
312001,4,3,0.23,Dingmans Ferry,Pennsylvania,18328,2400,2021-01-22,249900
312003,3,2,0.44,Pike County,Pennsylvania,18324,1470,2017-12-15,499000
312004,3,1,0.68,Sparrow Bush,New York,12780,1352,2005-05-11,265000
312007,6,4,3.27,Highland Lake,New York,12743,5140,2020-12-08,1400000
312010,3,2,0.41,Tamiment,Pennsylvania,18371,1528,,388600
312015,4,3,0.43,Dingmans Ferry,Pennsylvania,18328,1636,,299000
312016,2,1,0.23,Glen Spey,New York,12737,896,1981-12-10,45000
312017,2,1,1.9,Port Jervis,New York,12771,952,2003-04-04,198000
312018,1,1,0.12,Milford,Pennsylvania,18337,300,,43500
312019,3,2,0.75,Bushkill,Pennsylvania,18324,2399,2019-04-10,219900
312020,5,4,0.47,Bushkill,Pennsylvania,18324,2800,2016-11-01,229900
312021,3,3,0.68,Shohola,Pennsylvania,18458,3104,2006-05-03,449900
312022,2,1,0.9,Bushkill,Pennsylvania,18324,864,2011-09-01,132900
312023,4,4,1.31,Milford,Pennsylvania,18337,5409,2020-08-10,599000
312024,4,3,0.86,Milford,Pennsylvania,18337,2048,2021-02-23,325000
312025,3,3,0.71,Milford,Pennsylvania,18337,2250,2016-10-04,265000
312026,4,3,2.23,Milford,Pennsylvania,18337,3482,2021-06-02,450000
312027,3,2,0.34,Bushkill,Pennsylvania,18324,1638,2015-05-28,277000
312028,3,2,0.61,Lords Valley,Pennsylvania,18428,2272,,280000
312029,2,1,0.38,Dingmans Ferry,Pennsylvania,18328,987,2019-10-17,224900
312030,3,3,0.5,Tamiment,Pennsylvania,18371,1607,2015-02-19,234000
312031,1,1,1.0,Dingmans Ferry,Pennsylvania,18328,540,2019-04-02,224900
312032,3,2,0.98,Lords Valley,Pennsylvania,18428,1820,,250000
312033,3,3,1.21,Milford,Pennsylvania,18337,2144,1999-01-29,335000
312034,4,2,0.53,Lords Valley,Pennsylvania,18428,2224,2019-08-26,289000
312035,4,4,3.19,Mount Bethel,Pennsylvania,18343,2734,1999-04-20,550000
312037,4,3,0.29,Matamoras,Pennsylvania,18336,2020,,299999
312038,3,3,0.04,East Stroudsburg,Pennsylvania,18302,1992,2007-06-20,299000
312039,3,2,0.45,East Stroudsburg,Pennsylvania,18302,1980,2020-11-06,347000
312040,3,3,4.59,Milford,Pennsylvania,18337,3482,2020-10-20,499900
312041,4,2,2.1,Westtown,New York,10998,2600,,549000
312043,4,2,1.05,Barryville,New York,12719,2199,2004-07-07,315000
312044,3,3,0.3,Bushkill,Pennsylvania,18324,3290,2017-03-27,299500
312045,3,2,0.5,East Stroudsburg,Pennsylvania,18302,1104,1987-04-01,129900
312046,4,2,0.66,Bushkill,Pennsylvania,18324,1297,2021-03-23,205000
312047,2,2,1.03,Lords Valley,Pennsylvania,18428,2344,,290000
312048,2,2,0.77,Belvidere,New Jersey,7823,1209,,275000
312049,3,2,0.22,Milford,Pennsylvania,18337,2625,,285000
312050,4,3,0.37,Middle Smithfield Township,Pennsylvania,18302,3343,2015-07-01,474900
312051,3,3,0.44,East Stroudsburg,Pennsylvania,18302,1622,2016-04-07,259900
312052,4,3,0.34,Bushkill,Pennsylvania,18324,2180,2009-06-24,295000
312053,1,1,0.17,Smallwood,New York,12774,864,,249000
312054,2,1,0.69,Milford,Pennsylvania,18337,720,,229000
312055,4,2,0.33,Bushkill,Pennsylvania,18324,2420,2010-09-09,339000
